"date","name","description","type","locations"
"1984-04-28","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"1984-04-29","Yom HaShoah","Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.","Hebrew","All"
"1984-05-07","Yom HaAtzmaut","Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1984-05-07","May Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NT"
"1984-05-07","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Qld"
"1984-05-13","Mother's Day","Mother’s Day is celebrated in Australia on the second Sunday of May each year.","Observance","All"
"1984-05-20","Lag B'Omer","Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1984-05-21","Adelaide Cup","Adelaide Cup is a state holiday and a horse racing event in South Australia.","Local holiday","SA"
"1984-05-31","Ascension Day","Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.","Christian","All"
"1984-05-31","Ramadan Start","Many Muslims in Australia welcome Ramadan as period of fasting, self-evaluation and spiritual growth. Ramadan is the ninth month in the Islamic calendar.","Muslim","All"
"1984-06-04","Foundation Day","Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.","Common local holiday","WA"
"1984-06-06","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.","Hebrew","All"
"1984-06-06","Queensland Day","Queenslanders commemorate their state’s birthday on Queensland Day in Australia.","Local observance","All"
"1984-06-10","Pentecost","Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"1984-06-11","Whit Monday","Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.","Christian","All"
"1984-06-11","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","Qld"
"1984-06-11","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","All except Qld, WA"
"1984-06-17","Trinity Sunday","Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.","Christian","All"
"1984-06-21","Corpus Christi","Corpus Christi is a Christian observance that honors the Holy Eucharist.","Christian","All"
"1984-06-21","June Solstice",NA,"Season","All"
"1984-06-25","Laylatul Qadr (Night of Power)","Laylat al-Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.","Muslim","All"
"1984-06-30","Eid ul Fitr","Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.","Muslim","All"
"1984-07-01","First Day of NAIDOC Week",NA,"Observance","All"
"1984-08-06","New South Wales Bank Holiday","The New South Wales Bank Holiday falls on the first Monday of August.","Local holiday","NSW"
"1984-08-06","Northern Territory Picnic Day","Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.","Local holiday","NT"
"1984-08-07","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"1984-08-15","Assumption of Mary","The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.","Christian","All"
"1984-08-15","Royal National Agricultural Show Day Queensland","The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.","Local holiday","Qld"
"1984-09-02","Father's Day","Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.","Observance","All"
"1984-09-06","Eid ul Adha","Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.","Muslim","All"
"1984-09-23","September Equinox",NA,"Season","All"
"1984-09-27","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"1984-09-27","Muharram/Islamic New Year","Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.","Muslim","All"
"1984-10-01","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"1984-10-01","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NSW, ACT"
"1984-10-04","Feast of St Francis of Assisi","Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"1984-10-06","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"1984-10-08","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","SA"
"1984-10-11","First day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.","Hebrew","All"
"1984-10-17","Hoshana Rabbah","Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"1984-10-18","Shemini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1984-10-19","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1984-10-28","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"1984-10-31","Halloween","Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.","Observance","All"
"1984-11-01","All Saints' Day","Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.","Christian","All"
"1984-11-02","All Souls' Day","All Souls’ Day is observed among some Christians in Australia on November 2 each year.","Christian","All"
"1984-11-05","First Monday of November","Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.","Local holiday","Tas (northern)"
"1984-11-06","Melbourne Cup Day","Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.","Local holiday","Vic (partly)"
"1984-11-11","Remembrance Day","Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.","Observance","All"
"1984-12-02","First Sunday of Advent","Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.","Observance","All"
"1984-12-06","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"1984-12-08","Feast of the Immaculate Conception","Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.","Christian","All"
"1984-12-19","First Day of Hanukkah","The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","Hebrew","All"
"1984-12-22","December Solstice",NA,"Season","All"
"1984-12-24","Christmas Eve","Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.","Observance","All"
"1984-12-25","Christmas Day","Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.","National holiday, Christian","All"
"1984-12-26","Last day of Hanukkah","The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","Hebrew","All"
"1984-12-26","Boxing Day","December 26 is the Boxing Day holiday celebrated in Australia.","National holiday, Christian","All except SA"
"1984-12-27","Proclamation Day","December 26 is the Boxing Day holiday celebrated in Australia.","Local holiday","SA"
"1984-12-31","New Year's Eve","Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.","Observance","All"
"1985-01-01","New Year's Day","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"1985-01-06","Epiphany","Many people in countries such as Australia annually observe Epiphany on January 6.","Christian","All"
"1985-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"1985-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"1985-01-28","Australia Day","Australia Day is a day of celebrations for Australians. It is celebrated on January 26 each year.","National holiday","All"
"1985-02-06","Tu B'Shevat (Arbor Day)","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.","Hebrew","All"
"1985-02-11","Royal Hobart Regatta","The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.","Local holiday","Tas (southern)"
"1985-02-14","Valentine's Day","Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.","Observance","All"
"1985-02-19","Carnival / Shrove Tuesday","Shrove Tuesday is the day before the start of the Lent period for many Christians in Australia.","Christian","All"
"1985-02-20","Ash Wednesday","Ash Wednesday marks the first day of Lent in for many Christians in Australia.","Christian","All"
"1985-02-20","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"1985-03-03","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"1985-03-04","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","WA"
"1985-03-04","Eight Hours Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Tas"
"1985-03-07","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"1985-03-11","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Vic"
"1985-03-17","St Patrick's Day","St Patrick’s Day is a popular observance in Australia to honor Irish culture and commemorate one of Ireland’s patron saints, St Patrick.","Observance","All"
"1985-03-18","Canberra Day","Canberra Day is a public holiday that celebrates Canberra’s official founding in the Australian Capital Territory.","Local holiday","ACT"
"1985-03-21","March Equinox",NA,"Season","All"
"1985-03-31","Palm Sunday","Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"1985-04-04","Maundy Thursday","Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.","Christian","All"
"1985-04-05","Good Friday","Good Friday is two days before Easter Sunday and is a national holiday in Australia.","National holiday, Christian","All"
"1985-04-06","First day of Passover"," Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.","Hebrew","All"
"1985-04-06","Holy Saturday","Holy Saturday is the day before Easter Sunday and is a public holiday in some states and the two territories in Australia.","National holiday, Christian","All"
"1985-04-07","Easter Sunday","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Observance, Christian","All"
"1985-04-08","Easter Monday","Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.","National holiday, Christian","All"
"1985-04-09","Easter Tuesday","Easter Tuesday is a public holiday in the Australian state of Tasmania.","Local holiday","Tas"
"1985-04-12","Orthodox Good Friday","Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"1985-04-13","Last day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
"1985-04-13","Orthodox Holy Saturday","Many Orthodox Christians in Australia remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"1985-04-14","Orthodox Easter","Many Orthodox Christians in Australia celebrate Jesus Christ’s resurrection on Easter Sunday, also known as Pascha.","Orthodox","All"
"1985-04-15","Orthodox Easter Monday","Many Orthodox churches in Australia observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"1985-04-18","Yom HaShoah","Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.","Hebrew","All"
"1985-04-18","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"1985-04-25","Yom HaAtzmaut","Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1985-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","NSW, NT, Qld, SA"
"1985-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","WA"
"1985-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","ACT, Tas, Vic, Christmas Island, Norfolk Island, Cocos and Keeling Islands, Heard and McDonald Islands"
"1985-05-06","May Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NT"
"1985-05-06","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Qld"
"1985-05-09","Lag B'Omer","Many Jewish Australians observe Lag B’Omer on the 18th day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1985-05-12","Mother's Day","Mother’s Day is celebrated in Australia on the second Sunday of May each year.","Observance","All"
"1985-05-16","Ascension Day","Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.","Christian","All"
"1985-05-20","Adelaide Cup","Adelaide Cup is a state holiday and a horse racing event in South Australia.","Local holiday","SA"
"1985-05-21","Ramadan Start","Many Muslims in Australia welcome Ramadan as period of fasting, self-evaluation and spiritual growth. Ramadan is the ninth month in the Islamic calendar.","Muslim","All"
"1985-05-26","Pentecost","Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"1985-05-26","Shavuot","Shavuot, also known as the Festival of Weeks, is one of three major Jewish festivals celebrated among many Jewish Australians.","Hebrew","All"
"1985-05-27","Whit Monday","Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.","Christian","All"
"1985-06-02","Trinity Sunday","Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.","Christian","All"
"1985-06-03","Foundation Day","Foundation Day is a public holiday in the state of Western Australia to commemorate the founding of the first British colony in the state.","Common local holiday","WA"
"1985-06-06","Corpus Christi","Corpus Christi is a Christian observance that honors the Holy Eucharist.","Christian","All"
"1985-06-06","Queensland Day","Queenslanders commemorate their state’s birthday on Queensland Day in Australia.","Local observance","All"
"1985-06-10","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","All except Qld, WA"
"1985-06-10","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","Qld"
"1985-06-15","Laylatul Qadr (Night of Power)","Laylat al-Qadr is most likely to be held on one of the last 10 days of month of Ramadan in the Islamic calendar.","Muslim","All"
"1985-06-20","Eid ul Fitr","Eid al-Fitr, which is on the first day of the Islamic month of Shawwal, marks the end of the month-long fast of Ramadan.","Muslim","All"
"1985-06-21","June Solstice",NA,"Season","All"
"1985-07-07","First Day of NAIDOC Week",NA,"Observance","All"
"1985-07-28","Tisha B'Av","Tisha B’Av is on the ninth day of the month of Av in the Jewish calendar.","Hebrew","All"
"1985-08-05","New South Wales Bank Holiday","The New South Wales Bank Holiday falls on the first Monday of August.","Local holiday","NSW"
"1985-08-05","Northern Territory Picnic Day","Picnic Day is a public holiday annually held in Australia’s Northern Territory on the first Monday of August.","Local holiday","NT"
"1985-08-14","Royal National Agricultural Show Day Queensland","The Royal National Agricultural (RNA) Show Day is usually held in Brisbane, the capital city of the state of Queensland, Australia, on the second or third Wednesday in August.","Local holiday","Qld"
"1985-08-15","Assumption of Mary","The Feast of the Assumption of Mary is an annual Christian observance in Australia held on August 15. It is considered a Holy Day of Obligation - a day when some Christian denominations are obliged to attend mass.","Christian","All"
"1985-08-27","Eid ul Adha","Many Muslims in Australia celebrate Eid al- Adha around the 10th to the 13th days of the Islamic month of Dhu al-Hijjah.","Muslim","All"
"1985-09-01","Father's Day","Father’s Day celebrates the contribution that fathers and father figures make to their children’s lives.","Observance","All"
"1985-09-16","Rosh Hashana","Rosh Hashana, also spelled Rosh Hashanah, is commonly known as the Jewish New Year. The event begins on the first day of Tishrei (or Tishri), which is the seventh month in the Jewish calendar.","Hebrew","All"
"1985-09-16","Muharram/Islamic New Year","Muharram is the first month of the Islamic calendar and a time of remembrance or mourning.","Muslim","All"
"1985-09-23","September Equinox",NA,"Season","All"
"1985-09-25","Yom Kippur","Yom Kippur is an important Jewish holiday that falls on the 10th day of the month of Tishrei in the Jewish calendar.","Hebrew","All"
"1985-09-30","First day of Sukkot","The first day of Sukkot marks the start of the Sukkot festival for Jewish communities in Australia.","Hebrew","All"
"1985-09-30","Queen's Birthday","Many Australians celebrate the Queen's Birthday each year, as Australia is a constitutional monarchy.","Common local holiday","WA"
"1985-10-04","Feast of St Francis of Assisi","Many churches in Australia celebrate the Feast of St Francis of Assisi to honor St Francis, the patron saint of animals and the environment, on October 4 each year.","Christian","All"
"1985-10-06","Hoshana Rabbah","Many Jewish communities in Australia observe the last day of Sukkot, which marks the end of the Sukkot festival.","Hebrew","All"
"1985-10-07","Shemini Atzeret","Shemini Atzeret (or Shmini Atzeret) is a Jewish holiday dedicated to the love of God, while Simchat Torah (Simchas Torah or Simhat Torah) marks the end of Sukkot and celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1985-10-07","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NSW, ACT"
"1985-10-08","Simchat Torah","Simchat Torah (Simchas Torah or Simhat Torah) is a Jewish holiday that celebrates the completion of the annual reading of the Torah.","Hebrew","All"
"1985-10-14","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","SA"
"1985-10-27","Daylight Saving Time starts",NA,"Clock change/Daylight Saving Time","All"
"1985-10-31","Halloween","Halloween is a festive occasion that is celebrated in Australian communities on October 31 each year.","Observance","All"
"1985-11-01","All Saints' Day","Many churches in Australia annually observe All Saints' Day, also known as All Hallows' Day.","Christian","All"
"1985-11-02","All Souls' Day","All Souls’ Day is observed among some Christians in Australia on November 2 each year.","Christian","All"
"1985-11-04","First Monday of November","Recreation Day is annually celebrated in northern Tasmania, in Australia, on the first Monday of November.","Local holiday","Tas (northern)"
"1985-11-05","Melbourne Cup Day","Melbourne Cup Day is Australia’s most celebrated horse racing event. It is an annual public holiday in the state of Victoria and is observed nationwide on the first Tuesday of November.","Local holiday","Vic (partly)"
"1985-11-11","Remembrance Day","Remembrance Day in Australia is annually observed on November 11 although it is not a public holiday. This event remembers those who died as a result of war, particularly from World War I onwards.","Observance","All"
"1985-11-25","Milad un Nabi (Mawlid)","Eid Milad ul-Nabi marks the anniversary of the Prophet Muhammad's birth and death.","Muslim","All"
"1985-12-01","First Sunday of Advent","Many Christians mark the First Sunday of Advent as the start of the Advent season leading up to Christmas.","Observance","All"
"1985-12-08","Feast of the Immaculate Conception","Some Christians, particularly those of Catholic faith, in Australia mark the Feast of the Immaculate Conception on or around December 8.","Christian","All"
"1985-12-08","First Day of Hanukkah","The first day of Hanukkah is the start of the Hanukkah period, which lasts for 8 days, from the 25th day of the month of Kislev to the second day of Tevet in the Hebrew calendar.","Hebrew","All"
"1985-12-15","Last day of Hanukkah","The last day of Hanukkah marks the end of a festive Jewish occasion, known as Hanukkah or Chanukah.","Hebrew","All"
"1985-12-22","December Solstice",NA,"Season","All"
"1985-12-24","Christmas Eve","Christmas Eve in Australia is annually celebrated on December 24, which is the day before Christmas Day.","Observance","All"
"1985-12-25","Christmas Day","Christians celebrate the birth of Jesus on Christmas Day, which is in the middle of summer in Australia.","National holiday, Christian","All"
"1985-12-26","Boxing Day","December 26 is the Boxing Day holiday celebrated in Australia.","National holiday, Christian","All except SA"
"1985-12-27","Proclamation Day","December 26 is the Boxing Day holiday celebrated in Australia.","Local holiday","SA"
"1985-12-31","New Year's Eve","Many Australians celebrate New Year’s Eve on December 31 each year, which coincides with the date before New Year’s Day in the Gregorian calendar.","Observance","All"
"1986-01-01","New Year's Day","New Year's Day is the first day of the year in the Gregorian calendar used in Australia and many other countries.","National holiday","All"
"1986-01-06","Epiphany","Many people in countries such as Australia annually observe Epiphany on January 6.","Christian","All"
"1986-01-07","Orthodox Christmas Day","Many Orthodox Christian churches in countries such as Australia observe Christmas Day on or near January 7 in the Gregorian calendar.","Orthodox","All"
"1986-01-14","Orthodox New Year","Many Orthodox Christian churches in countries such as Australia celebrate New Year’s Day on January 14 in the Gregorian calendar.","Orthodox","All"
"1986-01-25","Tu B'Shevat (Arbor Day)","Tu B’Shevat is known as the “New Year for Trees”, is one of the four Jewish New Years.","Hebrew","All"
"1986-01-27","Australia Day","Australia Day is a day of celebrations for Australians. It is celebrated on January 26 each year.","National holiday","All"
"1986-02-09","Chinese New Year","Chinese New Year marks the first day of the New Year in the Chinese calendar.","Observance","All"
"1986-02-10","Royal Hobart Regatta","The Royal Hobart Regatta is an annual public holiday in southern Tasmania, Australia, on the second Monday in February.","Local holiday","Tas (southern)"
"1986-02-11","Carnival / Shrove Tuesday","Shrove Tuesday is the day before the start of the Lent period for many Christians in Australia.","Christian","All"
"1986-02-12","Ash Wednesday","Ash Wednesday marks the first day of Lent in for many Christians in Australia.","Christian","All"
"1986-02-14","Valentine's Day","Valentine’s Day, which is annually held on February 14, is one of the most romantic days in the year for many people in countries such as Australia.","Observance","All"
"1986-03-03","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","WA"
"1986-03-03","Eight Hours Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Tas"
"1986-03-10","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Vic"
"1986-03-16","Daylight Saving Time ends",NA,"Clock change/Daylight Saving Time","All"
"1986-03-17","Canberra Day","Canberra Day is a public holiday that celebrates Canberra’s official founding in the Australian Capital Territory.","Local holiday","ACT"
"1986-03-17","St Patrick's Day","St Patrick’s Day is a popular observance in Australia to honor Irish culture and commemorate one of Ireland’s patron saints, St Patrick.","Observance","All"
"1986-03-21","March Equinox",NA,"Season","All"
"1986-03-23","Palm Sunday","Palm Sunday in Australia celebrates Jesus Christ’s entry into Jerusalem. It is also the Sunday before Easter Sunday.","Christian","All"
"1986-03-25","Purim","Purim commemorates a time when Jewish people were saved from death around the fourth century BCE, according to the Book of Esther.","Hebrew","All"
"1986-03-27","Maundy Thursday","Many Christians in the Australia celebrate Maundy Thursday on the Thursday before Good Friday.","Christian","All"
"1986-03-28","Good Friday","Good Friday is two days before Easter Sunday and is a national holiday in Australia.","National holiday, Christian","All"
"1986-03-29","Holy Saturday","Holy Saturday is the day before Easter Sunday and is a public holiday in some states and the two territories in Australia.","National holiday, Christian","All"
"1986-03-30","Easter Sunday","On Easter Sunday, Christians celebrate the resurrection of Jesus Christ after his crucifixion.","Observance, Christian","All"
"1986-03-31","Easter Monday","Easter Monday is the day after Easter Sunday and is a nationwide holiday in Australia.","National holiday, Christian","All"
"1986-04-01","Easter Tuesday","Easter Tuesday is a public holiday in the Australian state of Tasmania.","Local holiday","Tas"
"1986-04-07","Isra and Mi'raj","Isra and Mi'raj (Isra Me'raj, Israa and Mi'raaj, Laylat Al-Isra wa Al-Miraj, Lailat al Miraj, Night Journey and Ascension to Heaven) marks the night when the Prophet Mohammad traveled from Mecca to Jerusalem, ascended to heaven and returned.","Muslim","All"
"1986-04-24","First day of Passover"," Passover is a Jewish observance of the liberation from slavery and the Israelites' exodus from Egypt around 3000 years ago.","Hebrew","All"
"1986-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","NSW, NT, Qld, SA"
"1986-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","WA"
"1986-04-25","ANZAC Day","ANZAC Day is the anniversary of the landing of troops from Australia and New Zealand on the Gallipoli Peninsula in Turkey during in World War I.","National holiday","ACT, Tas, Vic, Christmas Island, Norfolk Island, Cocos and Keeling Islands, Heard and McDonald Islands"
"1986-05-01","Last day of Passover","The last day of Passover marks the end of the Passover period, which lasts for seven or eight days.","Hebrew","All"
"1986-05-02","Orthodox Good Friday","Many Orthodox Christians in Australia remember the events leading up to Jesus Christ's crucifixion on Great Friday.","Orthodox","All"
"1986-05-03","Orthodox Holy Saturday","Many Orthodox Christians in Australia remember Jesus Christ’s burial and his descent into Hades on Holy Saturday.","Orthodox","All"
"1986-05-04","Orthodox Easter","Many Orthodox Christians in Australia celebrate Jesus Christ’s resurrection on Easter Sunday, also known as Pascha.","Orthodox","All"
"1986-05-05","Orthodox Easter Monday","Many Orthodox churches in Australia observe Easter Monday on the day after the Orthodox Easter Sunday date.","Orthodox","All"
"1986-05-05","May Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","NT"
"1986-05-05","Labour Day","Labour Day in Australia celebrates workers’ role in contributing towards the nation’s economy. It is an annual public holiday but its date varies across the states and territories.","Common local holiday","Qld"
"1986-05-06","Yom HaShoah","Yom Hashoah remembers the lives and sacrifices of about six million Holocaust victims who died during World War II. This observance is annually held on the 27th day of the month of Nisan.","Hebrew","All"
"1986-05-08","Ascension Day","Ascension Day is the 40th day of Easter and commemorates Jesus Christ’s ascension into heaven, according to Christian belief.","Christian","All"
"1986-05-10","Ramadan Start","Many Muslims in Australia welcome Ramadan as period of fasting, self-evaluation and spiritual growth. Ramadan is the ninth month in the Islamic calendar.","Muslim","All"
"1986-05-11","Mother's Day","Mother’s Day is celebrated in Australia on the second Sunday of May each year.","Observance","All"
"1986-05-14","Yom HaAtzmaut","Many Jewish communities in Australia celebrate Yom Ha’Atzmaut, which is Israel’s Independence Day, on the fifth day of the month of Iyar in the Jewish calendar.","Hebrew","All"
"1986-05-18","Pentecost","Many Christians in Australia observe Pentecost, also known as Whitsunday or Whit Sunday.","Christian","All"
"1986-05-19","Whit Monday","Whit Monday is a Christian observance also known as Pentecost Monday. It is the day after Pentecost, or Whitsunday.","Christian","All"
"1986-05-19","Adelaide Cup","Adelaide Cup is a state holiday and a horse racing event in South Australia.","Local holiday","SA"
"1986-05-25","Trinity Sunday","Many churches in Australia observe Trinity Sunday, a Christian feast that occurs on the first Sunday after Pentecost.","Christian","All"
